strID,strDST,strSEC,strNM,strAD1,strAD2,StrCM,strCT,strPC,strGR,strILEn,strILFr,strURL,intBuilt,xcoord,ycoord
"1355",DSF-S,Francophone,École Mathieu-Martin,"511, rue Champlain",NULL,Dieppe,Westmorland,E1A 1P2,9-12,French,Français,http://mathieumartin.nbed.nb.ca,"1971",2636542.42690345,7457054.75458212
"1574",ASD-E,Anglophone,Lou MacNarin School,555 Gauvin Road,NULL,Dieppe,Westmorland,E1A 1M7,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://loumacnarin.nbed.nb.ca,"1995",2636652.36098355,7456815.8721499
"1361",DSF-S,Francophone,École Carrefour de l'Acadie,"515, rue Champlain",NULL,Dieppe,Westmorland,E1A 1P2,6-8,French,Français,http://carrefourdelacadie.nbed.nb.ca,"2006",2636647.64418355,7457138.3197662
"2522",ASD-W,Anglophone,Gagetown School,6 Loomcroft Lane,NULL,Gagetown,Queens,E5M 1H2,"Kindergarten, 1-8",English,Anglais,http://gagetown.nbed.nb.ca,"1960",2527715.3759221,7419652.23717129
"2501",ASD-W,Anglophone,Burton Elementary School,412 Route 102 Hwy,NULL,Burton,Sunbury,E2V 3C7,"Kindergarten, 1-2",English,Anglais,http://burton.nbed.nb.ca,"1961",2510046.68982564,7430570.82969346
"2412",ASD-W,Anglophone,Cambridge-Narrows Community School,2158 Lakeview Road,NULL,Cambridge-Narrows,Queens,E4C 1N8,"Kindergarten, 1-12",English,Anglais,http://cns.nbed.nb.ca,"1987",2542477.21619185,7426472.28120964
"1604",ASD-E,Anglophone,Petitcodiac Regional School,1 Corey Avenue,P.O. Box 2502,Petitcodiac,Westmorland,E4Z 6H4,"Kindergarten, 1-12","English, French Immersion","Anglais, Immersion française",http://prs.nbed.nb.ca,"1949",2602405.58155966,7437960.13274034
"1602",ASD-E,Anglophone,Havelock School,4530 Route 880,NULL,Havelock,Kings,E4Z 5K6,"Kindergarten, 1-5",English,Anglais,http://havelock.nbed.nb.ca/,"2006",2591658.05911765,7444322.14170627
"1921",ASD-S,Anglophone,Hampton Middle School,11 School Street,P.O. Box 250,Hampton,Kings,E5N 6B1,6-8,"English, French Immersion","Anglais, Immersion française",http://hamptonmiddle.nbed.nb.ca,"1956",2552275.41344897,7392802.49148228
"1939",ASD-S,Anglophone,Hampton Elementary School,82 School Street,NULL,Hampton,Kings,E5N 6B2,3-5,"English, French Immersion","Anglais, Immersion française",http://Hampton-Elementary.nbed.nb.ca,"1969",2552510.90784919,7392855.69289033
"1940",ASD-S,Anglophone,Dr. A. T. Leatherbarrow Primary School,122 School Street,NULL,Hampton,Kings,E5N 6B2,"Kindergarten, 1-2","English, French Immersion","Anglais, Immersion française",http://leatherbarrow.nbed.nb.ca,"1974",2552471.69236115,7393086.58927455
"1947",ASD-S,Anglophone,Hampton High School,34 Elizabeth Avenue,NULL,Hampton,Kings,E5N 5P7,9-12,"English, French Immersion","Anglais, Immersion française",http://www.Hamptonhigh.ca,"1992",2551695.26458443,7391071.72642467
"1944",ASD-S,Anglophone,Hammond River Valley Elementary School,1759 Route 860,P.O. Box 1062,Hampton,Kings,E5N 8H1,"Kindergarten, 1-5",English,Anglais,http://hrves.nbed.nb.ca,"1982",2558429.99342271,7387595.67726943
"2622",ASD-W,Anglophone,McAdam Avenue School,129 McAdam Avenue,NULL,Fredericton,York,E3A 1G7,"Kindergarten, 1-5",English,Anglais,http://maes.nbed.nb.ca,"1962",2486326.84967555,7442399.28205647
"2636",ASD-W,Anglophone,Nashwaaksis Middle School,324 Fulton Avenue,NULL,Fredericton,York,E3A 5J4,6-8,"English, French Immersion","Anglais, Immersion française",http://nasismiddle.nbed.nb.ca,"1976",2488927.57108597,7442792.22336884
"2621",ASD-W,Anglophone,Nashwaaksis Memorial School,80 Main Street,NULL,Fredericton,York,E3A 1C4,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://nms.nbed.nb.ca,"1948",2487605.30510074,7442286.05696837
"2623",ASD-W,Anglophone,Park Street Elementary School,111 Park Street,NULL,Fredericton,York,E3A 2J6,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://parkstreet.nbed.nb.ca,"1960",2488614.29121368,7442325.0273364
